"2024-09-09 15:13:23,804",HWOpenText,INFO,"ONLINE"
"2024-09-10 08:24:44,716",HWOpenText,INFO,"ONLINE"
"2024-09-10 11:23:51,743",HWOpenText,INFO,"ONLINE"
"2024-09-10 11:29:44,998",HWOpenText,INFO,"ONLINE"
"2024-09-10 11:52:35,410",HWOpenText,INFO,"ONLINE"
"2024-09-10 11:58:33,653",HWOpenText,INFO,"ONLINE"
"2024-09-11 11:57:36,092",HWOpenText,INFO,"ONLINE"
"2024-09-11 12:09:19,520",HWOpenText,INFO,"ONLINE"
"2024-09-11 12:14:24,210",HWOpenText,INFO,"ONLINE"
"2024-09-11 12:17:19,827",HWOpenText,INFO,"ONLINE"
"2024-09-11 12:22:35,474",HWOpenText,INFO,"ONLINE"
"2024-09-11 12:28:48,712",HWOpenText,INFO,"ONLINE"
"2024-09-11 12:43:54,381",HWOpenText,INFO,"ONLINE"
"2024-09-11 12:45:37,106",HWOpenText,INFO,"ONLINE"
"2024-09-13 10:27:25,129",HWOpenText,INFO,"ONLINE"
"2024-09-13 10:40:20,486",HWOpenText,INFO,"ONLINE"
"2024-09-13 10:46:00,979",HWOpenText,INFO,"ONLINE"
"2024-09-13 11:06:43,818",HWOpenText,INFO,"ONLINE"
"2024-09-13 11:13:56,130",HWOpenText,INFO,"ONLINE"
"2024-09-13 11:19:36,531",HWOpenText,INFO,"ONLINE"
"2024-09-13 11:19:36,890",HWOpenText,DEBUG,"ticket_updated"
"2024-09-13 11:19:40,408",HWOpenText,DEBUG,"CREATE FILE"
"2024-09-13 11:19:41,033",HWOpenText,ERROR,"error while deleteing verions"
"2024-09-13 11:19:48,990",HWOpenText,DEBUG,"CREATE FILE"
"2024-09-13 11:19:49,506",HWOpenText,ERROR,"error while deleteing verions"
"2024-09-13 11:19:53,209",HWOpenText,DEBUG,"CREATE FILE"
"2024-09-13 11:19:53,725",HWOpenText,ERROR,"error while deleteing verions"
"2024-09-13 11:19:57,647",HWOpenText,DEBUG,"CREATE FILE"
"2024-09-13 11:19:58,179",HWOpenText,ERROR,"error while deleteing verions"
"2024-09-13 11:23:03,970",HWOpenText,INFO,"ONLINE"
"2024-09-13 11:25:16,077",HWOpenText,INFO,"ONLINE"
"2024-09-13 11:31:44,689",HWOpenText,INFO,"ONLINE"
